source_repo	source_path	dest_path	source_commit	source_sha256	sanctioned_adapt	adapted_now
CH	docs/adr-evidence/seen-red/38-review-without-detail/red.txt	seen-red/38-review-without-detail/red.txt	87e1bcc3e03bdc3fed1924219c8e181dcf8646e7	17bbd202fe8001d45775f97ea6693cce05a51d5116c03e166b7e89bb215869a7	0	no
CH	docs/adr-evidence/seen-red/39-binder-bind-many/red-specimen.py	seen-red/39-binder-bind-many/red-specimen.py	87e1bcc3e03bdc3fed1924219c8e181dcf8646e7	33e32539ce85cda2769b7af6fac466c0d66450c7a42f2b2a118b09927448f282	0	no
CH	docs/adr-evidence/seen-red/39-binder-bind-many/red.txt	seen-red/39-binder-bind-many/red.txt	87e1bcc3e03bdc3fed1924219c8e181dcf8646e7	d0d33ff4d41ba9def988b63c373aae09f424d782639f0d55c4f1abd97e508ba1	0	no
CH	docs/adr-evidence/seen-red/42-gate-journal-registered/red.txt	seen-red/42-gate-journal-registered/red.txt	87e1bcc3e03bdc3fed1924219c8e181dcf8646e7	e498a8027bb9bff08e2f02f9a0101ae1cf849ba9a1cedae0fc9a2dfa596232c8	0	no
CH	docs/adr-evidence/seen-red/43-arming-delivery-set/green.txt	seen-red/43-arming-delivery-set/green.txt	87e1bcc3e03bdc3fed1924219c8e181dcf8646e7	46120fbc3cb1c5c584d03971b93eedb6bc4dcde99a6fad1ea4d2085a698df4b2	0	no
CH	docs/adr-evidence/seen-red/43-arming-delivery-set/red.txt	seen-red/43-arming-delivery-set/red.txt	87e1bcc3e03bdc3fed1924219c8e181dcf8646e7	d86129c54dcd9c2bd2c55db410cbf7ed43d6d10bbf402a5e737c1ec4c40124eb	0	no
CH	docs/adr-evidence/seen-red/45-criterion-reviewer-grants/green.txt	seen-red/45-criterion-reviewer-grants/green.txt	87e1bcc3e03bdc3fed1924219c8e181dcf8646e7	6ebedad1b20ca602c9dd16bc397f5e76073a648d5a90ea49dcbb75d5bb9d2be0	0	no
CH	docs/adr-evidence/seen-red/45-criterion-reviewer-grants/red.txt	seen-red/45-criterion-reviewer-grants/red.txt	87e1bcc3e03bdc3fed1924219c8e181dcf8646e7	e0e9475696062bc703bf257cfec220650ffb83fa833466981dc4a2cf89e352ed	0	no
CH	docs/adr-evidence/seen-red/engine-inc1-controls/green.txt	seen-red/engine-inc1-controls/green.txt	87e1bcc3e03bdc3fed1924219c8e181dcf8646e7	5d9c74aaec6a442a9422ef35130c1e193b48b0ac0fe182e39680fe78c5bfa98e	0	no
CH	docs/adr-evidence/seen-red/engine-inc1-controls/red.txt	seen-red/engine-inc1-controls/red.txt	87e1bcc3e03bdc3fed1924219c8e181dcf8646e7	d0a96d6617a72326ec699fed093cbec554d42b7aa77b1129b8a678e3f59bd10f	0	no
